Trial,RAI_XING,RAI_Static,RAI_Role,GRE_XING,CRL_XING,XING_Quality,XING_Cost,XING_Latency,XING_Energy,Static_Failures,Role_Failures,Constraints_Active,Recoveries,Affected
0,8.287910214906402,0.21799822351964818,0.4559691519130603,0.6290128445041108,0.021101410220567118,11.302601248179569,0.12670245962138094,1.1904637526069448,0.4657940700522088,0,2,False,6,8
1,6.765620282489948,0.20716738062485504,0.425031654194506,0.7797599512428418,0.05658382595125655,5.672790656418259,0.07593717036498258,0.7353223143169357,0.2721362193034119,0,1,False,13,14
2,6.741704858573688,0.24640556265445002,0.49704601206098065,0.5759342540610275,0.003627488720586709,8.79538199232288,0.10462878943830278,1.1551976120287681,0.4479641677117492,0,0,False,9,12
3,7.927286895303588,0.21739979264491668,0.6333742143546389,0.6399054818829485,0.002795790020702218,9.641441061207765,0.11050330085296306,1.0646787065030723,0.41052650042286376,1,0,False,9,11
4,5.153419766496597,0.16651867503840007,0.38173231213545483,0.7619189426476182,0.07590253388008517,2.9371686388570315,0.03249705224069695,0.5239786983283187,0.1346979470795686,1,1,False,16,17
5,6.128311509799088,0.19334464281811617,0.43405480774985705,0.7751618867147276,0.10718193514160568,3.8979375974283395,0.03714487974318064,0.5832658435407597,0.1564336619822601,1,1,False,15,16
6,8.094633719167485,0.24708440292362652,0.5528125642752165,0.588026612224288,0.006735683142223546,12.7650210613541,0.16352098865210027,1.3560717515143088,0.5738053672535282,0,2,False,5,7
7,9.250162587749209,0.2518195451842966,0.5212918185322626,0.7525976512398254,0.0034727074593109983,9.832137049516136,0.099992676069627,0.9295484629196187,0.33373913178344017,0,3,False,10,11
8,7.4065274511392465,0.2602015740145699,0.5178894835586244,0.7742861708180763,0.039458011412662114,4.705480826160082,0.053250402031164386,0.5627459086863921,0.1931907253081061,0,2,False,15,16
9,6.1627939120815,0.21852912083071804,0.31953087889871196,0.6720425030318116,0.011509241129112483,5.6315876881664355,0.05199271910428719,0.8334471938769212,0.2836440507757153,0,2,False,13,15
10,7.427974230006554,0.21350981448443992,0.34333616008565415,0.7884319441416361,0.026500660445771432,6.146867982787192,0.0765322240011162,0.7223970116023237,0.2860028892774162,0,0,False,12,13
11,8.065054908845891,0.23086226821848915,0.41170011698621306,0.760393021967411,0.019970863657571798,8.24825022231401,0.08154039565291299,0.9059633728284961,0.3521093284904137,0,0,False,10,11
12,9.465937779774979,0.22716339678170208,0.4560586969441457,0.7674525420969548,0.07684782849139683,12.256263640745098,0.12918631600603595,1.1175021437853883,0.48086968263042446,0,0,False,6,7
13,2.9482160260941934,0.23121713721784667,0.4071200031041263,0.6730531806964378,0.15148350357323187,2.391272184243111,0.05271968060530851,0.7415802041284862,0.16791352501990917,0,1,False,16,18
